Open,High,Low,Close,Volume,Dividends,Stock Splits
146.15,146.21,146.15,146.18,60941,0.0,0.0
146.17,146.22,146.15,146.16,57119,0.0,0.0
146.15,146.17,146.05,146.07,48036,0.0,0.0
146.07,146.14,146.07,146.13,35514,0.0,0.0
146.12,146.18,146.07,146.17,50879,0.0,0.0
146.18,146.28,146.18,146.21,68815,0.0,0.0
146.22,146.33,146.15,146.18,136387,0.0,0.0
146.18,146.38,146.17,146.33,78572,0.0,0.0
146.33,146.42,146.33,146.4,83883,0.0,0.0
146.39,146.43,146.31,146.33,64381,0.0,0.0
146.33,146.35,146.25,146.34,59658,0.0,0.0
146.35,146.42,146.34,146.37,53421,0.0,0.0
146.37,146.38,146.28,146.36,41786,0.0,0.0
146.36,146.42,146.34,146.36,56864,0.0,0.0
146.34,146.37,146.21,146.35,54866,0.0,0.0
146.33,146.36,146.3,146.34,30042,0.0,0.0
146.35,146.36,146.25,146.29,44999,0.0,0.0
146.29,146.31,146.2,146.22,54829,0.0,0.0
146.22,146.29,146.21,146.22,21620,0.0,0.0
146.21,146.29,146.16,146.26,26142,0.0,0.0
146.27,146.39,146.26,146.36,67133,0.0,0.0
146.36,146.48,146.35,146.47,87496,0.0,0.0
146.48,146.49,146.43,146.49,47665,0.0,0.0
146.48,146.55,146.48,146.54,64325,0.0,0.0
146.54,146.6,146.5,146.56,40274,0.0,0.0
146.56,146.59,146.53,146.58,44158,0.0,0.0
146.59,146.62,146.55,146.56,58202,0.0,0.0
146.56,146.59,146.53,146.53,25161,0.0,0.0
146.53,146.56,146.46,146.55,80530,0.0,0.0
146.55,146.56,146.47,146.53,40426,0.0,0.0
146.55,146.55,146.48,146.53,42989,0.0,0.0
146.54,146.56,146.38,146.44,57332,0.0,0.0
146.43,146.65,146.43,146.65,52774,0.0,0.0
146.65,146.73,146.59,146.65,150912,0.0,0.0
146.65,146.72,146.6,146.7,101327,0.0,0.0
146.7,146.8,146.68,146.8,68520,0.0,0.0
146.8,146.84,146.74,146.74,76058,0.0,0.0
146.74,146.74,146.5,146.53,67727,0.0,0.0
146.53,146.62,146.52,146.62,39929,0.0,0.0
146.62,146.7,146.62,146.66,64811,0.0,0.0
146.66,146.71,146.62,146.7,46144,0.0,0.0
146.7,146.78,146.64,146.77,60664,0.0,0.0
146.77,146.77,146.61,146.69,44185,0.0,0.0
146.68,146.81,146.68,146.8,42863,0.0,0.0
146.79,146.87,146.78,146.85,90732,0.0,0.0
146.85,146.87,146.8,146.82,53753,0.0,0.0
146.82,146.83,146.7,146.7,38589,0.0,0.0
146.69,146.71,146.63,146.63,43030,0.0,0.0
146.63,146.67,146.52,146.65,75937,0.0,0.0
146.65,146.67,146.55,146.56,39608,0.0,0.0
146.57,146.62,146.54,146.61,30451,0.0,0.0
146.61,146.61,146.55,146.58,30151,0.0,0.0
146.58,146.69,146.58,146.69,29923,0.0,0.0
146.69,146.76,146.66,146.74,53890,0.0,0.0
146.74,146.76,146.68,146.7,28992,0.0,0.0
146.7,146.79,146.7,146.78,23893,0.0,0.0
146.77,146.79,146.76,146.77,29506,0.0,0.0
146.77,146.81,146.75,146.78,47956,0.0,0.0
146.78,146.79,146.69,146.78,50141,0.0,0.0
146.79,146.8,146.74,146.79,24843,0.0,0.0
146.79,146.85,146.78,146.85,55102,0.0,0.0
146.85,146.88,146.77,146.79,61066,0.0,0.0
146.78,146.84,146.75,146.82,47100,0.0,0.0
146.82,146.84,146.76,146.83,32460,0.0,0.0
146.85,146.87,146.8,146.83,29913,0.0,0.0
146.82,146.86,146.79,146.85,42851,0.0,0.0
146.85,146.88,146.72,146.72,59148,0.0,0.0
146.74,146.76,146.62,146.66,63632,0.0,0.0
146.66,146.72,146.65,146.68,57493,0.0,0.0
146.69,146.84,146.69,146.81,60318,0.0,0.0
146.82,146.87,146.77,146.86,56633,0.0,0.0
